timesteps,reward
91608,-43.90000000000001
91656,-30.100000000000016
91928,-69.90000000000012
91992,-173.90000000000003
92032,-2.049999999999997
92056,-81.00000000000014
92296,-198.99999999999991
92400,-107.00000000000009
92704,-81.35000000000011
92952,-77.50000000000014
93056,-44.000000000000036
93168,-93.60000000000005
93184,-23.39999999999996
93736,-24.449999999999978
93840,-23.29999999999999
93928,-233.9499999999998
93968,-50.149999999999984
93992,-162.79999999999984
94232,-114.00000000000016
94640,-186.14999999999966
94712,-21.79999999999999
94752,-23.299999999999986
94768,-125.55000000000017
94952,3.1999999999999993
95016,-31.799999999999944
95336,-141.39999999999986
95536,-40.050000000000004
95656,-211.30000000000015
95664,-43.05000000000001
95736,-41.550000000000004
95800,-32.6
96248,-92.25000000000013
96368,-145.05
96632,-59.89999999999999
96824,-47.75000000000001
96832,-83.45000000000007
96960,-85.05000000000007
97392,-43.850000000000016
97416,-24.59999999999998
97544,-44.899999999999935
97592,-228.14999999999998
97672,-152.10000000000014
98120,-115.85000000000015
98200,-30.94999999999999
98376,-24.199999999999992
98432,-61.049999999999976
98560,-169.9999999999997
98568,-100.70000000000013
98992,-148.14999999999986
99352,-42.24999999999998
99608,-220.0499999999999
99728,-88.40000000000009
99728,-97.55000000000021
99776,-31.149999999999952
99800,-173.80000000000004
100056,-195.7499999999998
100160,-137.6
100512,-23.949999999999992
100752,-38.49999999999997
100824,-42.4
100952,-89.55000000000022
101080,-47.35000000000001
101208,-134.3500000000002
101296,-45.14999999999999
101376,-180.95
101536,-40.65000000000001
101848,-56.750000000000014
101992,-27.849999999999966
102096,-142.39999999999995
102136,5.400000000000002
102400,-42.79999999999998
102680,-91.50000000000014
102880,-22.249999999999982
102888,-216.34999999999997
102896,-126.80000000000017
103016,-77.20000000000007
103664,-30.749999999999986
103736,-131.00000000000017
103784,-221.64999999999972
103800,-35.199999999999974
104000,-167.14999999999998
104496,-104.40000000000012
104520,-29.799999999999976
104568,-20.149999999999977
104616,-197.59999999999985
104824,-269.2999999999994
104824,-67.20000000000002
105304,-21.799999999999986
105592,-42.34999999999997
105600,-211.4999999999992
105600,-152.45
105848,-43.94999999999996
106096,-180.35000000000014
106216,-89.95000000000014
106384,-19.95
106384,-30.899999999999988
106600,-89.25000000000011
106632,-24.49999999999997
106760,-151.6
106768,-30.300000000000033
106888,-59.10000000000012
107384,-49.05000000000001
107416,-20.349999999999987
107680,-68.85000000000004
107984,-125.00000000000023
108152,-223.8999999999997
108248,-54.90000000000004
108440,-44.99999999999999
108696,-235.55
108704,-233.59999999999948
108768,-25.849999999999984
108824,-156.90000000000003
108976,-67.00000000000007
109224,-28.049999999999976
109272,-70.25000000000001
110000,-53.25000000000002
110064,-87.40000000000008
110088,-136.00000000000003
110296,-45.450000000000045
110520,-72.05000000000001
110632,-192.89999999999995
110640,-278.3499999999993
110760,-171.24999999999997
111080,-17.249999999999993
111112,-50.25
111240,-76.65000000000003
111288,1.8500000000000085
111296,-84.85000000000004
112088,-26.850000000000023
112136,-37.350000000000065
112232,-80.15000000000009
112360,-80.80000000000011
112408,-68.35000000000007
112456,-143.25000000000017
112680,-65.45000000000009
113016,-23.94999999999998
113112,-39.05000000000001
113144,-19.649999999999988
113176,-214.49999999999972
113464,-24.699999999999985
113704,-129.15000000000015
113736,-170.55000000000018
113752,-100.55000000000017
114248,-32.4
114488,-23.24999999999998
114712,-79.65000000000015
114776,-129.95000000000016
114952,-236.94999999999965
115032,-71.70000000000005
115080,-249.15000000000006
115272,-69.90000000000003
115352,-105.60000000000012
115800,-50.65
115976,-38.95000000000001
116008,-68.40000000000012
116080,-93.00000000000003
116088,-71.80000000000018
116104,-29.999999999999968
116584,-25.0
116872,-142.8500000000003
117104,-45.8
117272,-94.75000000000011
117288,-171.69999999999987
117384,-61.55
117400,-69.85000000000008
117608,-145.8
117672,-49.75000000000001
118168,-111.5500000000002
118568,-171.95000000000007
118704,-106.35000000000022
119192,-51.24999999999999
119208,-189.74999999999966
119224,-174.7999999999999
119320,-189.59999999999994
119336,-256.3499999999999
119488,-33.69999999999997
119600,10.350000000000003
119608,-244.24999999999997
119864,-81.85000000000014
119992,-36.949999999999996
120008,-22.049999999999986
120488,-80.15000000000009
120648,-21.449999999999974
120736,-56.050000000000075
120896,-66.19999999999999
121208,-129.75000000000023
121256,-128.80000000000018
121304,-107.3500000000001
121592,-140.1000000000001
121920,-79.10000000000007
121992,-20.799999999999986
122032,-46.80000000000004
122248,-152.4500000000001
122280,-68.30000000000007
122424,-199.09999999999974
